Unit 4-1,eat,…を食べる、食事をする
Unit 4-1,look,見る、目を向ける
Unit 4-1,stop,とまる、停止する
Unit 4-1,sit,すわる、すわっている
Unit 4-1,stand,立つ、立っている
Unit 4-1,sound,…に聞こえる、思える
Unit 4-1,worry,心配する、なやむ
Unit 4-1,fine,(人が)元気な
Unit 4-1,right,正しい、正確な
Unit 4-1,sad,悲しい
Unit 4-1,shy,内気な、はずかしがりの
Unit 4-1,nervous,緊張して
Unit 4-1,please,どうぞ、お願いします、すみませんが
Unit 4-1,really,本当に、実際に
Unit 4-1,someday,いつか
Unit 4-1,sport,スポーツ
Unit 4-1,dancing,おどり、ダンス
Unit 4-1,swimming,水泳
Unit 4-1,baseball,野球
Unit 4-1,basketball,バスケットボール
Unit 4-1,dodgeball,ドッジボール
Unit 4-1,badminton,バドミントン
Unit 4-1,table tennis,卓球
Unit 4-2,big,大きい、重要な、すごい
Unit 4-2,small,小さい
Unit 4-2,last,最後の、最終の
Unit 4-2,many,たくさんの、多くの
Unit 4-2,much,多くの、多量の
Unit 4-2,famous,有名な
Unit 4-2,favorite,大好きなもの[人]
Unit 4-2,every day,毎日
Unit 4-2,movie,映画
Unit 4-2,song,歌
Unit 4-2,music,音楽
Unit 4-2,drink,飲み物
Unit 4-2,food,食べ物
Unit 4-2,book,本
Unit 4-2,class,授業
Unit 4-2,subject,教科、科目
Unit 4-2,family,家族
Unit 4-2,player,競技者、選手
Unit 4-2,starter,先発メンバー
Unit 4-2,student,学生、生徒
Unit 4-2,gift,おくり物
Unit 4-2,present,プレゼント
Unit 4-2,age,年齢
Unit 4-2,birthday,誕生日
Unit 4-2,photo,写真
Unit 4-2,picture,絵、絵画、写真
Unit 4-2,poster,ポスター、広告
Unit 4-2,table,テーブル
Unit 4-2,chair,いす
Unit 4-2,bench,ベンチ
Unit 4-2,basket,かご、ざる、バスケット
Unit 4-2,kitchen,台所、キッチン
Unit 4-2,call,…を(〜と)呼ぶ、名づける
Unit 4-2,win,(…に)勝つ
Unit 4-2,cut,…を切る
Unit 4-2,have,…を食べる、飲む
Unit 4-2,ride,…に乗る、乗っていく
Unit 4-2,walk,(イヌなど)を歩かせる、散歩させる
Unit 4-2,tell,…に(〜を)話す、教える
Unit 4-2,think,考える、思う
Unit 5-1,life,生活、暮らし
Unit 5-1,tour,旅行、ツアー、見学
Unit 5-1,trip,旅行
Unit 5-1,spot,地点、場所
Unit 5-1,guide,ガイド、案内人
Unit 5-1,owner,所有者、持ち主
Unit 5-1,blog,ブログ
Unit 5-1,website,ウェブサイト
Unit 5-1,dish,料理、(料理の)1品
Unit 5-1,hot dog,ホットドッグ
Unit 5-1,pancake,パンケーキ、ホットケーキ
Unit 5-1,hamburger,ハンバーガー
Unit 5-1,breakfast,朝食
Unit 5-1,dinner,夕食、ディナー
Unit 5-1,cafe,喫茶店、カフェ
Unit 5-1,restaurant,レストラン
Unit 5-1,work,働く、作業をする
Unit 5-1,spell,(語)をつづる
Unit 5-1,write,(…を)書く
Unit 5-1,pick,…をつむ、もぐ
Unit 5-1,catch,…をつかまえる、…をとらえる
Unit 5-1,surf,サーフィン[波乗り]をする
Unit 5-1,swim,泳ぐ
Unit 5-1,skate,スケートをする
Unit 5-1,salty,塩気のある、塩からい
Unit 5-1,fried,油であげた、油でいためた
Unit 5-1,local,(ある)地方の、地元の
Unit 5-1,happy,幸せな、うれしい、楽しい
Unit 5-1,popular,人気のある
Unit 5-1,friendly,好意的な、親切な
Unit 5-1,beautiful,美しい
Unit 5-1,wonderful,すばらしい、すてきな
Unit 5-1,ocean,大洋、海
Unit 5-1,eel,ウナギ
Unit 5-1,whale,クジラ
Unit 5-1,shark,サメ、フカ
Unit 5-1,dolphin,イルカ
Unit 5-1,penguin,ペンギン
Unit 5-1,octopus,タコ
